[[[0041ea3e0f6de06eaebe641f6b7eeb31d7b16b24072474a9a5946489]]],Trouble
[[[0146e63c643650ebdbb9da14beea2a1db16cbc6f60db529041237e85]]],Check out the coverage performance on [[[@CARRIERHANDLE]]] from #MyMobileCoverage
[[[0189c9f0af635d253a2e4ccbae489a3a756cf73941ef87d2f1646d32]]],Enter your email address then press next
[[[018b448ac6462ef4f2de7fdd1b33856243970a4a161746243dea8e4a]]],Rate the impact of the event:
[[[01a60284f22c4af7eb81cfbb9a6da7f61a1e0ff9a88bbe21838f8386]]],Check out my WiFi data speed. #MyMobileCoverage just clocked it.
[[[0214e41ac9832a6041b1fc90e0de6ba3e2e5bd1363ba9379b87bb30a]]],Minimal
[[[02673c33aaf2ce3ba593b945578caeb81f84231a50099e813ae155c6]]],Select tracking duration
[[[03e547abe4ffceee4233b2400fffd85fc159c74253d558f8a7188a5c]]],Download Speed:
[[[04a3f30d153f04f6c0be597ea977203dbf1f8d5ba26b9a5ec5b9e66b]]],Nerd
[[[04cab61f9fa5cdec742bac363721f32d299a67af72b7dc7ded66fe2a]]],map shadow
[[[0506e7e4b42d727d258141662afb0706263382eb6770040a70095ff4]]],(stopped)
[[[0696768c80c97f91ac312037d68e7cf2ced0d06d872500e508b78ca3]]],Ranking
[[[06a3f555b66641684c492dbffd32ad3f18fd4d72aa7fbea79a8d5a1c]]],@string/Settings_Minimum
[[[06a420e509c262dc4ed226bb6332414cd8d4305b14b8c3cf13899466]]],"Locates and reports all events including WiFi, data speed test and most coverage gaps with in-motion updates every 20 minutes and general updates every 3 hours."
[[[07016e0f76155e63edc688e03444c0a2d0a589a4c778289cded19a1c]]],WiFi avg near
[[[074241244a45d32c22afc55d3a7a3600f1b6380a56348a92d129e0ef]]],Password must be 5 or more characters
[[[074ed00e2b3da13f0288e2975e8f3f7891a1a94a439e36ad394198e7]]],Increase usage profile to Maximum when charger is connected
[[[0759c73fffa66f6b4af2e79c436686de03561177b3f9c5e054d4eb99]]],Calls Dropped
[[[09ce90982ad65c489af64a53b5342ce555c02a004b4d04bcdffe19b9]]],MyMap
[[[09f3cdc8ac3a061e69e4be040f2fbad585c8a445a13f00d494751d57]]],GPS cold start
[[[0a6a88c389f7e4037d9d614e7f211fd008d3e60777895feb802e43e0]]],carrier logo
[[[0cd6384b988d70792f2d9b7e817fca0e44e6ab282c7e2b670b3c264f]]],Regained Service
[[[0d92e9bb7a12b208d716b90db92f7965d43f325346ba32020810b7b2]]],Call Stats
[[[0e20b84a896c8a602d54e2d3e748786983c74641da554a905bad3b9e]]],Network info on [[[@CARRIERHANDLE]]]
[[[0e9658a3cc32b6b59cde3cb52756e8232392070bc804d83f5553e6e0]]],SpeedResult
[[[0f5c241b185696f05f250f66081ea4b53fb861c2513c2f5f2026ef05]]],Stop
[[[0fa827aa1b24af997e5533fab987e21a88da26dddd2b6f8cbdf5b87c]]],my mobile coverage logo heart
[[[0ff60ade8b689ba9c0b4f30ae8376468674dcc4c7ff8016e4f55a6ac]]],Grrr!
[[[100370b34ac9b946daa6d584e514df6a34048e8ed4587c59fb2fdc90]]],Failed call on [[[@CARRIERHANDLE]]]
[[[109f1de5b40c38724c18e30002533d5fd85421ff259a59e3a7e49ead]]],GPS Tips
[[[11b33eeb006747540c23f129530dc3e2d1f56e2dc48fdc1ec3a61ab8]]],Voice Quality
[[[11c7c81f49b4734cbda88398209d19dba441a760bbac2eed5529d7db]]],Check-in
[[[11cba5a0f82ab9b884e9f95ef2e14aa5714b242a4b1b19c24e83baa6]]],Percent of Calls
[[[13220b6d317905734bb3157af5cbae6a11d2f856d1ccb9882caf1b01]]],System log reporting is disabled
[[[13263d13cd5d5d9a4ae7083eda3448dc68f08ff203c5bb78ce5b8432]]],MyMobileCoverage
[[[13887b8e4715bc9bd4b3ed60203d01788a8408f6d15d4518cc17c512]]],Thank you. The issue has been submitted.
[[[13e3e072a600f0d6b295345fba238626e1e2109b95c48ed608ddc9c0]]],That MyMobileCoverage improves your GPS performance?
[[[148fad76e4fa180116b4ef0695b87131ba5a96366616c5b07897d939]]],you have no events
[[[14cea5aa34d8ee83b140a61ebd94754e2cc7afcb011c04f13d549814]]],Generating randomized packets
[[[14d80dbee47b7e1a0f52d6936a0eead7eba502c9fa0fc1bdc7f7bd6a]]],Mode
[[[15a0d8d58b2f6c865cae9c71e9f8a24a1ac922280d275b133b3e7dc3]]],Start
[[[169ba185c6d72d50df1f4a14085109922d8f36e99f19d0215f2b9afb]]],social media banner
[[[16a7f1a07d261bb7b9c1c60afe8aa13321d8af48f64e532f729dc9cf]]],Check out Carrier Rankings on #MyMobileCoverage app.  See how your carrier stacks up against others in your area!
[[[17ed9d232c91884e9b9a1089af72b05c2124cfd42c6635d8af70620f]]],3G:
[[[17f8a26393cca5aff331ad1241b8c69bc797371812841a0b57b18cb0]]],Time:
[[[182383878727b1b39b1d30294f2b2b250e57d20d16ecb4977628a8e4]]],An error occurred while performing the speed test
[[[18cd1843a2fae8b1fc239f97bb06167d6832489d5539565bc1e62b8e]]],Regained 3G
[[[18fa552e63b57eef3c543817256708069976ece1a45928d5422dc543]]],Log Out
[[[1901673cf2559c5d6e7e689a17f3996e15a2d94855424ade68d48074]]],Tracking
[[[1bb0912ea07547224d3227cb8302c0793bd271b5c7e99c8f18e8ba3a]]],Carrier 2G avg near
[[[1bc84fe241812720bc19d4795f25fb31ae16e8ec77c539b916d7429c]]],Carrier LTE avg near
[[[1befb00e0a667f8e9177a64988052b680541457c641efdfe2ce678a3]]],UpdateUserDevice
[[[1d919c205d48aac815e69ae2a695b3127046c74bb04202f20f8c154e]]],Step 1 of 3
[[[1dd21dd6e49180fb6b5bdf7a084bd3f25524775436bf9d91da40bc13]]],Could not get screenshot because there is no external storage present
[[[1e605863469896099da6682fc3814906ce4800e9a702be67b3ccde9f]]],Carrier rankings including my carrier [[[@CARRIERHANDLE]]]
[[[1ef5305724fffd39ea4d9e5b4270fdc81aa420e4f18dbaa3aeab9cca]]],Thank you !
[[[1f07ceb37c4d12779b5690cfe75d68394889c44872a6f1e9f7c513a1]]],3G Download Speeds
[[[1f8fdd540159c8a3f02ca6d25064564c05337acf679594df8288146e]]],Include email address
